Time_ns,Data_in,FaultBit,FaultType,FaultMask,FaultValue,CRC_out
25000,a5a5,0,stuck-at-0,0001,0000,fffe
45000,a5a5,0,stuck-at-1,0001,0001,fffc
65000,a5a5,1,stuck-at-0,0002,0000,fff8
85000,a5a5,1,stuck-at-1,0002,0002,fff0
105000,a5a5,2,stuck-at-0,0004,0000,ffe0
125000,a5a5,2,stuck-at-1,0004,0004,ffc0
145000,a5a5,3,stuck-at-0,0008,0000,ff80
165000,a5a5,3,stuck-at-1,0008,0008,ff00
185000,a5a5,4,stuck-at-0,0010,0000,fe00
205000,a5a5,4,stuck-at-1,0010,0010,fc00
225000,a5a5,5,stuck-at-0,0020,0000,f800
245000,a5a5,5,stuck-at-1,0020,0020,f000
265000,a5a5,6,stuck-at-0,0040,0000,e000
285000,a5a5,6,stuck-at-1,0040,0040,c000
305000,a5a5,7,stuck-at-0,0080,0000,8000
325000,a5a5,7,stuck-at-1,0080,0080,0000
345000,a5a5,8,stuck-at-0,0100,0000,1021
365000,a5a5,8,stuck-at-1,0100,0100,3063
385000,a5a5,9,stuck-at-0,0200,0000,70e7
405000,a5a5,9,stuck-at-1,0200,0200,f1ef
425000,a5a5,10,stuck-at-0,0400,0000,e3de
445000,a5a5,10,stuck-at-1,0400,0400,c7bc
465000,a5a5,11,stuck-at-0,0800,0000,8f78
485000,a5a5,11,stuck-at-1,0800,0800,1ef0
505000,a5a5,12,stuck-at-0,1000,0000,2dc1
525000,a5a5,12,stuck-at-1,1000,1000,4ba3
545000,a5a5,13,stuck-at-0,2000,0000,8767
565000,a5a5,13,stuck-at-1,2000,2000,0ece
585000,a5a5,14,stuck-at-0,4000,0000,0dbd
605000,a5a5,14,stuck-at-1,4000,4000,0b5b
625000,a5a5,15,stuck-at-0,8000,0000,16b6
645000,a5a5,15,stuck-at-1,8000,8000,3d4d
